Function,Sample Size,Max Absolute Error,Max Relative Error,Status,Error Message
CT_first_derivatives,10,0.0,0.0,PASS,
CT_first_derivatives,100,8.940696716308594e-08,4.461647192206462e-16,FAIL,
CT_first_derivatives,1000,1.4901161193847656e-08,3.315600520712746e-16,FAIL,
CT_first_derivatives,10000,8.940696716308594e-08,4.461647192206462e-16,FAIL,
CT_freezing,10,1.0818013151947525e-12,1.3202465486962916e-11,PASS,
CT_freezing,100,1.127986593019159e-12,1.3202465486962916e-11,PASS,
CT_freezing,1000,1.2025935802739696e-12,4.9761029264112195e-11,PASS,
CT_freezing,10000,1.3002932064409833e-12,1.983479700891171e-10,PASS,
CT_maxdensity,10,3.3511091679372385e-09,1.257963416117019e-09,PASS,
CT_maxdensity,100,3.3511091679372385e-09,1.257963416117019e-09,PASS,
CT_maxdensity,1000,3.3511091679372385e-09,1.257963416117019e-09,PASS,
CT_maxdensity,10000,3.3511091679372385e-09,1.257963416117019e-09,PASS,
CT_second_derivatives,10,0.0,0.0,PASS,
CT_second_derivatives,100,0.0,0.0,PASS,
CT_second_derivatives,1000,7.450580596923828e-06,1.909034064824363e-10,FAIL,
CT_second_derivatives,10000,1.4901161193847656e-05,2.8981959909081995e-10,FAIL,
IPV_vs_fNsquared_ratio,10,,,ERROR,only integer scalar arrays can be converted to a scalar index
IPV_vs_fNsquared_ratio,100,,,ERROR,only integer scalar arrays can be converted to a scalar index
IPV_vs_fNsquared_ratio,1000,,,ERROR,only integer scalar arrays can be converted to a scalar index
IPV_vs_fNsquared_ratio,10000,,,ERROR,only integer scalar arrays can be converted to a scalar index
Nsquared,10,,,ERROR,only integer scalar arrays can be converted to a scalar index
Nsquared,100,,,ERROR,only integer scalar arrays can be converted to a scalar index
Nsquared,1000,,,ERROR,only integer scalar arrays can be converted to a scalar index
Nsquared,10000,,,ERROR,only integer scalar arrays can be converted to a scalar index
O2sol_SP_pt,10,0.0,0.0,PASS,
O2sol_SP_pt,100,1.0658141036401503e-14,4.054368320299707e-16,PASS,
O2sol_SP_pt,1000,3.552713678800501e-14,1.395110096668782e-15,PASS,
O2sol_SP_pt,10000,3.979039320256561e-13,1.3301622115667104e-15,PASS,
SR_from_SP,10,0.0,0.0,PASS,
SR_from_SP,100,0.0,0.0,PASS,
SR_from_SP,1000,0.0,0.0,PASS,
SR_from_SP,10000,0.0,0.0,PASS,
adiabatic_lapse_rate_from_CT,10,1.377711691280421e-10,0.003889032734707032,PASS,
adiabatic_lapse_rate_from_CT,100,1.377711691280421e-10,0.003889032734707032,PASS,
adiabatic_lapse_rate_from_CT,1000,1.377711691280421e-10,0.003889032734707032,PASS,
adiabatic_lapse_rate_from_CT,10000,1.377711691280421e-10,0.003889032734707032,PASS,
alpha,10,8.299784470811034e-14,1.3699699438772428e-09,PASS,
alpha,100,8.299784470811034e-14,1.3699699438772428e-09,PASS,
alpha,1000,8.299784470811034e-14,1.3699699438772428e-09,PASS,
alpha,10000,8.299784470811034e-14,1.3699699438772428e-09,PASS,
alpha_on_beta,10,7.606835161766412e-10,1.4562085474035175e-09,PASS,
alpha_on_beta,100,7.606835161766412e-10,1.4562085474035175e-09,PASS,
alpha_on_beta,1000,7.606835161766412e-10,1.4562085474035175e-09,PASS,
alpha_on_beta,10000,7.606835161766412e-10,1.4562085474035175e-09,PASS,
beta,10,1.1509507539739228e-12,1.6894061317329463e-09,PASS,
beta,100,1.1509507539739228e-12,1.6894061317329463e-09,PASS,
beta,1000,1.1509507539739228e-12,1.6894061317329463e-09,PASS,
beta,10000,1.1509507539739228e-12,1.6894061317329463e-09,PASS,
cabbeling,10,,,ERROR,grad can be implicitly created only for scalar outputs
cabbeling,100,,,ERROR,grad can be implicitly created only for scalar outputs
cabbeling,1000,,,ERROR,grad can be implicitly created only for scalar outputs
cabbeling,10000,,,ERROR,grad can be implicitly created only for scalar outputs
distance,10,,,ERROR,only integer scalar arrays can be converted to a scalar index
distance,100,,,ERROR,only integer scalar arrays can be converted to a scalar index
distance,1000,,,ERROR,only integer scalar arrays can be converted to a scalar index
distance,10000,,,ERROR,only integer scalar arrays can be converted to a scalar index
dynamic_enthalpy,10,7.275957614183426e-12,3.3759970629905404e-16,PASS,
dynamic_enthalpy,100,1.4551915228366852e-11,3.9234574031211916e-16,PASS,
dynamic_enthalpy,1000,2.1827872842550278e-11,5.831679286645237e-16,PASS,
dynamic_enthalpy,10000,2.9103830456733704e-11,7.022567212011316e-16,PASS,
enthalpy,10,1.4551915228366852e-11,2.2079765102299912e-16,PASS,
enthalpy,100,2.9103830456733704e-11,2.559678266040968e-16,PASS,
enthalpy,1000,2.9103830456733704e-11,2.7997280497562043e-16,PASS,
enthalpy,10000,2.9103830456733704e-11,3.575805625539265e-16,PASS,
enthalpy_SSO_0,10,7.275957614183426e-12,1.9403284040275193e-16,PASS,
enthalpy_SSO_0,100,7.275957614183426e-12,2.9792335304468504e-16,PASS,
enthalpy_SSO_0,1000,1.4551915228366852e-11,3.558725924424338e-16,PASS,
